Date ,Open ,High ,Low ,Close 
1-Jan-15,15.12,15.5075,14.755,15.025
2-Jan-15,15.025,15.025,13.4825,13.795
5-Jan-15,13.795,14.405,13.1525,14.1525
6-Jan-15,14.1525,17.87,13.4575,17.42
7-Jan-15,17.42,19.07,16.5025,18.14
8-Jan-15,18.14,18.14,15.3825,16.4725
9-Jan-15,16.4725,16.9075,14.4625,15.955
12-Jan-15,15.955,17.5475,14.3725,16.11
13-Jan-15,16.11,16.81,14.5725,16.4825
14-Jan-15,16.4825,17.795,14.66,17.2475
15-Jan-15,17.2475,17.2475,13.825,16.16
16-Jan-15,16.16,17.4975,14.86,17.275
19-Jan-15,17.275,18.29,14.555,17.65
20-Jan-15,17.65,17.65,15.715,17.2725
21-Jan-15,17.2725,18.1425,14.33,17.7125
22-Jan-15,17.7125,18.7625,14.205,18.565
23-Jan-15,18.565,18.74,13.46,17.885
27-Jan-15,17.885,18.685,16.7775,18.085
28-Jan-15,18.085,20.145,17.62,19.77
29-Jan-15,19.77,20.5675,17.7025,19.4325
30-Jan-15,19.4325,21.21,18.325,20.1725
2-Feb-15,20.1725,21.365,19.855,20.405
3-Feb-15,20.405,20.48,19.0025,19.8075
4-Feb-15,19.8075,20.2925,17.9725,20.05
5-Feb-15,20.05,20.89,18.26,20.615
6-Feb-15,20.615,21.24,18.72,20.685
9-Feb-15,20.685,22.1225,18.5875,22.015
10-Feb-15,22.015,22.015,19.85,21.1925
11-Feb-15,21.1925,21.5075,18.535,20.5025
12-Feb-15,20.5025,20.96,17.93,20.1575
13-Feb-15,20.1575,20.4475,16.98,20.1025
16-Feb-15,20.1025,21.1175,17.475,20.825
18-Feb-15,20.825,21.6475,18.6525,20.9125
19-Feb-15,20.9125,21.9075,19.4025,20.3975
20-Feb-15,20.3975,21.5,19.235,21.2675
23-Feb-15,21.2675,22.02,19.405,21.6325
24-Feb-15,21.6325,22.0675,20.9175,21.55
25-Feb-15,21.55,21.55,20.215,20.775
26-Feb-15,20.775,21.235,19.9425,20.58
27-Feb-15,20.58,20.58,19.3,19.57
28-Feb-15,19.57,19.57,16.6925,16.97
2-Mar-15,16.97,16.97,15.7425,15.8475
3-Mar-15,15.8475,15.9475,14.98,15.4925
4-Mar-15,15.4925,15.4925,14.2975,15.1975
5-Mar-15,15.1975,15.2475,13.97,14.4375
9-Mar-15,14.4375,16.0075,13.315,15.8125
10-Mar-15,15.8125,16.15,14.955,15.5325
11-Mar-15,15.5325,15.61,14.245,15.13
12-Mar-15,15.13,15.13,13.7825,14.75
13-Mar-15,14.75,15.235,13.45,14.965
16-Mar-15,14.965,15.37,14.3275,15.1775
17-Mar-15,15.1775,15.4625,13.43,15.1275
18-Mar-15,15.1275,15.7025,13.7225,15.5125
19-Mar-15,15.5125,15.5125,12.89,15.1975
20-Mar-15,15.1975,15.36,13.0825,14.26
23-Mar-15,14.26,14.58,12.435,14.27
24-Mar-15,14.27,14.49,12.4525,13.6725
25-Mar-15,13.6725,13.9475,12.36,13.1425
26-Mar-15,13.1425,15.6075,12.5175,15.1625
27-Mar-15,15.1625,15.4025,14.37,14.5
30-Mar-15,14.5,15.19,14.1075,14.2625
31-Mar-15,14.2625,14.74,13.855,14.4925
1-Apr-15,14.4925,14.6825,13.565,13.665
6-Apr-15,13.665,15.0525,13.595,14.5725
7-Apr-15,14.5725,14.895,13.98,14.25
8-Apr-15,14.25,14.695,13.35,14.3475
9-Apr-15,14.3475,14.8925,13.2875,14.4175
10-Apr-15,14.4175,14.79,13.4275,14.255
13-Apr-15,14.255,14.93,13.055,14.4875
15-Apr-15,14.4875,14.985,13.34,14.62
16-Apr-15,14.62,15.3,12.9675,14.95
17-Apr-15,14.95,15.1775,13.62,15.04
20-Apr-15,15.04,16.4225,13.6625,16.2975
21-Apr-15,16.2975,17.34,15.2275,17.03
22-Apr-15,17.03,18.3775,14.69,17.21
23-Apr-15,17.21,19.435,14.965,18.5
24-Apr-15,18.5,19.5925,17.36,19.105
27-Apr-15,19.105,20.0875,16.2175,18.735
28-Apr-15,18.735,18.895,16.745,17.41
29-Apr-15,17.41,17.885,15.725,17.235
30-Apr-15,17.235,18.1225,16.3075,17.225
4-May-15,17.225,18.2825,16.96,17.3075
5-May-15,17.3075,18.07,16.2725,17.365
6-May-15,17.365,20.4625,16.7075,19.67
7-May-15,19.67,20.0325,18.335,19.65
8-May-15,19.65,19.65,17.4375,19.11
11-May-15,19.11,19.28,16.7675,18.625
12-May-15,18.625,21.3275,17.22,20.545
13-May-15,20.545,21.4325,18.0975,20.685
14-May-15,20.685,21.905,19.815,20.7
15-May-15,20.7,20.9825,19.095,19.815
18-May-15,19.815,20.47,16.77,17.9025
19-May-15,17.9025,18.525,14.865,18.27
20-May-15,18.27,18.27,15.5725,17.7175
21-May-15,17.7175,18.06,16.1425,17.4125
22-May-15,17.4125,17.44,14.195,16.9475
25-May-15,16.9475,17.6975,14.68,16.9325
26-May-15,16.9325,17.8425,15.2875,17.0675
27-May-15,17.0675,17.9675,16.905,17.2825
28-May-15,17.2825,17.72,16.5975,17.1325
29-May-15,17.1325,17.71,16.4375,16.6575
1-Jun-15,16.6575,17.46,16.0575,16.9125
2-Jun-15,16.9125,17.1375,16.0325,16.82
3-Jun-15,16.82,17.9175,15.8575,17.505
4-Jun-15,16.82,18.67,16.465,18.1225
5-Jun-15,18.1225,18.375,17.6875,18.0875
8-Jun-15,18.0875,19.065,17.1575,18.885
9-Jun-15,18.885,19.1175,16.475,18.01
10-Jun-15,18.01,18.02,16.7125,17.0775
11-Jun-15,17.0775,17.95,15.9475,17.805
12-Jun-15,17.805,18.2075,16.075,17.4775
15-Jun-15,17.4775,18.02,15.3475,17.525
