Date,Open,High,Low,Close
1-Jan-15,8273,8295,8249,8284
2-Jan-15,8289,8411,8289,8395.45
5-Jan-15,8408,8446,8364,8378.4
6-Jan-15,8325,8328,8111,8127.35
7-Jan-15,8119,8151,8065,8102.1
8-Jan-15,8191,8244,8167,8234.6
9-Jan-15,8285,8303,8191,8284.5
12-Jan-15,8291,8333,8246,8323
13-Jan-15,8346,8357,8268,8299.4
14-Jan-15,8307,8326,8237,8277.55
15-Jan-15,8425,8527,8381,8494.15
16-Jan-15,8504,8531,8452,8513.8
19-Jan-15,8550,8571,8532,8550.7
20-Jan-15,8575,8708,8575,8695.6
21-Jan-15,8720,8742,8690,8729.5
22-Jan-15,8746,8774,8727,8761.4
23-Jan-15,8828,8866,8795,8835.6
27-Jan-15,8871,8925,8825,8910.5
28-Jan-15,8903,8985,8874,8914.3
29-Jan-15,8902,8967,8861,8952.35
30-Jan-15,8997,8997,8775,8808.9
2-Feb-15,8803,8841,8751,8797.4
3-Feb-15,8823,8837,8727,8756.55
4-Feb-15,8789,8793,8704,8723.7
5-Feb-15,8733,8838,8684,8711.7
6-Feb-15,8697,8726,8646,8661.05
9-Feb-15,8584,8606,8516,8526.35
10-Feb-15,8478,8646,8471,8565.55
11-Feb-15,8603,8652,8594,8627.4
12-Feb-15,8677,8733,8599,8711.55
13-Feb-15,8742,8822,8730,8805.5
16-Feb-15,8831,8870,8793,8809.35
18-Feb-15,8812,8894,8809,8869.1
19-Feb-15,8883,8913,8794,8895.3
20-Feb-15,8896,8900,8816,8833.6
23-Feb-15,8857,8869,8736,8754.95
24-Feb-15,8773,8801,8727,8762.1
25-Feb-15,8802,8841,8751,8767.25
26-Feb-15,8779,8786,8669,8683.85
27-Feb-15,8730,8857,8717,8844.6
28-Feb-15,8913,8941,8751,8901.85
2-Mar-15,8954,8972,8885,8956.75
3-Mar-15,8963,9008,8926,8996.25
4-Mar-15,9109,9119,8894,8922.65
5-Mar-15,8929,8958,8849,8937.75
9-Mar-15,8891,8891,8740,8756.75
10-Mar-15,8770,8778,8677,8712.05
11-Mar-15,8729,8756,8682,8699.95
12-Mar-15,8741,8787,8733,8776
13-Mar-15,8844,8850,8632,8647.75
16-Mar-15,8657,8664,8612,8633.15
17-Mar-15,8689,8743,8631,8723.3
18-Mar-15,8743,8747,8664,8685.9
19-Mar-15,8749,8788,8615,8634.65
20-Mar-15,8628,8628,8553,8570.9
23-Mar-15,8592,8608,8541,8550.9
24-Mar-15,8537,8628,8536,8542.95
25-Mar-15,8569,8574,8517,8530.8
26-Mar-15,8475,8499,8325,8342.15
27-Mar-15,8396,8413,8269,8341.4
30-Mar-15,8391,8505,8381,8492.3
31-Mar-15,8528,8550,8454,8491
1-Apr-15,8484,8603,8465,8586.25
6-Apr-15,8616,8668,8574,8659.9
7-Apr-15,8684,8694,8587,8660.3
8-Apr-15,8699,8731,8680,8714.4
9-Apr-15,8756,8786,8682,8778.3
10-Apr-15,8774,8787,8734,8780.35
13-Apr-15,8802,8842,8762,8834
15-Apr-15,8845,8845,8722,8750.2
16-Apr-15,8757,8760,8646,8706.7
17-Apr-15,8698,8700,8597,8606
20-Apr-15,8619,8620,8423,8448.1
21-Apr-15,8416,8469,8353,8377.75
22-Apr-15,8400,8450,8285,8429.7
23-Apr-15,8478,8505,8362,8398.3
24-Apr-15,8406,8413,8273,8305.25
27-Apr-15,8331,8334,8202,8213.8
28-Apr-15,8216,8308,8185,8285.6
29-Apr-15,8275,8308,8219,8239.75
30-Apr-15,8225,8229,8145,8181.5
4-May-15,8230,8346,8220,8331.95
5-May-15,8338,8356,8281,8324.8
6-May-15,8317,8332,8083,8097
7-May-15,8077,8123,7997,8057.3
8-May-15,8132,8225,8123,8191.5
11-May-15,8243,8333,8225,8325.25
12-May-15,8326,8327,8115,8126.95
13-May-15,8182,8255,8090,8235.45
14-May-15,8232,8236,8137,8224.2
15-May-15,8240,8279,8212,8262.35
18-May-15,8285,8385,8272,8373.65
19-May-15,8356,8428,8335,8365.65
20-May-15,8393,8440,8391,8423.25
21-May-15,8435,8446,8383,8421
22-May-15,8433,8490,8421,8458.95
25-May-15,8438,8442,8364,8370.25
26-May-15,8377,8379,8320,8339.35
27-May-15,8303,8343,8278,8334.6
28-May-15,8346,8365,8270,8319
29-May-15,8327,8444,8306,8433.65
1-Jun-15,8417,8467,8405,8433.4
2-Jun-15,8443,8445,8226,8236.45
3-Jun-15,8232,8237,8094,8135.1
4-Jun-15,8155,8160,8057,8130.65
5-Jun-15,8119,8191,8100,8114.7
8-Jun-15,8124,8131,8031,8044.15
9-Jun-15,8027,8057,8005,8022.4
10-Jun-15,8024,8152,8024,8124.45
11-Jun-15,8157,8163,7958,7965.35
12-Jun-15,7960,7996,7940,7982.9
15-Jun-15,7987,8058,7945,8013.9
16-Jun-15,8004,8062,7952,8047.3
17-Jun-15,8084,8137,8049,8091.55
18-Jun-15,8114,8187,8102,8174.6
19-Jun-15,8201,8251,8196,8224.95
22-Jun-15,8259,8369,8257,8353.1
23-Jun-15,8377,8398,8335,8381.55
24-Jun-15,8399,8421,8339,8360.85
25-Jun-15,8336,8423,8330,8398
26-Jun-15,8394,8409,8340,8381.1
29-Jun-15,8247,8329,8196,8318.4
30-Jun-15,8316,8378,8299,8368.5
1-Jul-15,8376,8482,8370,8453.05
2-Jul-15,8472,8479,8433,8444.9
3-Jul-15,8440,8498,8424,8484.9
6-Jul-15,8386,8533,8386,8522.15
7-Jul-15,8526,8561,8484,8510.8
8-Jul-15,8439,8458,8341,8363.05
9-Jul-15,8365,8400,8323,8328.55
10-Jul-15,8366,8377,8315,8360.55
13-Jul-15,8397,8472,8355,8459.65
14-Jul-15,8471,8480,8424,8454.1
15-Jul-15,8463,8531,8463,8523.8
16-Jul-15,8546,8616,8543,8608.05
17-Jul-15,8624,8643,8593,8609.85
20-Jul-15,8624,8624,8559,8603.45
21-Jul-15,8602,8647,8518,8529.45
22-Jul-15,8512,8644,8499,8633.5
23-Jul-15,8644,8655,8574,8589.8
24-Jul-15,8588,8589,8514,8521.55
27-Jul-15,8492,8492,8352,8361
28-Jul-15,8371,8397,8322,8337
29-Jul-15,8366,8382,8338,8375.05
30-Jul-15,8417,8459,8408,8421.8
31-Jul-15,8456,8549,8448,8532.85
3-Aug-15,8511,8564,8508,8543.05
4-Aug-15,8564,8565,8448,8516.9
5-Aug-15,8547,8592,8546,8567.95
6-Aug-15,8586,8606,8552,8588.65
7-Aug-15,8581,8596,8553,8564.6
10-Aug-15,8577,8622,8498,8525.6
11-Aug-15,8548,8556,8441,8462.35
12-Aug-15,8446,8447,8338,8349.45
13-Aug-15,8384,8430,8340,8355.85
14-Aug-15,8402,8530,8381,8518.55
17-Aug-15,8531,8531,8428,8477.3
18-Aug-15,8506,8526,8434,8466.55
19-Aug-15,8468,8520,8426,8495.15
20-Aug-15,8471,8501,8360,8372.75
21-Aug-15,8305,8322,8225,8299.95
24-Aug-15,8056,8060,7769,7809
25-Aug-15,7895,7925,7667,7880.7
26-Aug-15,7865,7930,7777,7791.85
27-Aug-15,7922,7964,7862,7948.95
28-Aug-15,8054,8092,7962,8001.95
31-Aug-15,8009,8044,7948,7971.3
1-Sep-15,7908,7929,7747,7785.85
2-Sep-15,7857,7863,7699,7717
3-Sep-15,7774,7846,7754,7823
4-Sep-15,7803,7805,7627,7655.05
7-Sep-15,7686,7705,7546,7558.8
8-Sep-15,7588,7721,7540,7688.25
9-Sep-15,7806,7846,7765,7818.6
10-Sep-15,7729,7820,7679,7788.1
11-Sep-15,7834,7865,7760,7789.3
14-Sep-15,7811,7880,7762,7872.25
15-Sep-15,7867,7880,7800,7829.1
16-Sep-15,7887,7914,7853,7899.15
18-Sep-15,7967,8055,7956,7981.9
21-Sep-15,7912,7988,7908,7977.1
22-Sep-15,8015,8022,7788,7812
23-Sep-15,7737,7883,7723,7845.95
24-Sep-15,7838,7895,7804,7868.5
28-Sep-15,7893,7894,7788,7795.7
29-Sep-15,7726,7927,7691,7843.3
30-Sep-15,7924,7958,7875,7948.9
1-Oct-15,7992,8008,7931,7950.9
5-Oct-15,8005,8129,8005,8119.3
6-Oct-15,8180,8181,8097,8152.9
7-Oct-15,8146,8189,8133,8177.4
8-Oct-15,8197,8197,8106,8129.35
9-Oct-15,8186,8232,8140,8189.7
12-Oct-15,8232,8245,8128,8143.6
13-Oct-15,8122,8150,8089,8131.7
14-Oct-15,8102,8139,8096,8107.9
15-Oct-15,8134,8191,8130,8179.5
16-Oct-15,8194,8246,8148,8238.15
19-Oct-15,8263,8283,8239,8275.05
20-Oct-15,8280,8294,8229,8261.65
21-Oct-15,8258,8294,8217,8251.7
23-Oct-15,8308,8328,8281,8295.45
26-Oct-15,8334,8336,8252,8260.55
27-Oct-15,8230,8242,8217,8232.9
28-Oct-15,8189,8209,8132,8171.2
29-Oct-15,8175,8180,8098,8111.75
30-Oct-15,8124,8146,8044,8065.8
2-Nov-15,8055,8061,7996,8050.8
3-Nov-15,8086,8100,8032,8060.7
4-Nov-15,8105,8116,8027,8040.2
5-Nov-15,8030,8031,7944,7955.45
6-Nov-15,7957,8003,7926,7954.3
9-Nov-15,7788,7938,7772,7915.2
10-Nov-15,7878,7885,7773,7783.35
11-Nov-15,7839,7848,7819,7825
13-Nov-15,7762,7775,7731,7762.25
16-Nov-15,7733,7839,7714,7806.6
17-Nov-15,7849,7860,7793,7837.55
18-Nov-15,7823,7843,7725,7731.8
19-Nov-15,7789,7855,7765,7842.75
20-Nov-15,7842,7907,7818,7856.55
23-Nov-15,7870,7878,7825,7849.25
24-Nov-15,7837,7870,7813,7831.6
26-Nov-15,7837,7897,7832,7883.8
27-Nov-15,7911,7959,7879,7942.7
30-Nov-15,7936,7966,7923,7935.25
1-Dec-15,7958,7972,7934,7954.9
2-Dec-15,7977,7979,7911,7931.35
3-Dec-15,7902,7912,7853,7864.15
4-Dec-15,7818,7821,7776,7781.9
7-Dec-15,7817,7825,7746,7765.4
8-Dec-15,7739,7771,7685,7701.7
9-Dec-15,7696,7703,7607,7612.5
10-Dec-15,7643,7692,7610,7683.3
11-Dec-15,7700,7703,7575,7610.45
14-Dec-15,7558,7664,7551,7650.05
15-Dec-15,7659,7705,7625,7700.9
16-Dec-15,7725,7777,7716,7750.9
17-Dec-15,7783,7853,7738,7844.35
18-Dec-15,7829,7836,7753,7761.95
21-Dec-15,7746,7841,7733,7834.45
22-Dec-15,7829,7846,7777,7786.1
23-Dec-15,7830,7871,7826,7865.95
24-Dec-15,7889,7889,7836,7861.05
28-Dec-15,7863,7937,7863,7925.15
29-Dec-15,7929,7942,7903,7928.95
30-Dec-15,7939,7945,7890,7896.25
